Time,Republican,Independent,Democrat
1/21/09,16,47,85
1/26/09,18,48,86
2/2/09,17,45,84
2/9/09,18,46,81
2/16/09,17,46,82
2/23/09,18,44,82
3/2/09,14,44,82
3/9/09,17,48,88
3/16/09,18,50,84
3/23/09,18,50,87
3/30/09,18,46,87
4/6/09,16,48,84
4/13/09,18,54,83
4/20/09,16,46,87
4/27/09,19,43,88
5/4/09,16,48,86
5/11/09,18,46,86
5/18/09,18,47,86
5/25/09,16,48,84
6/1/09,16,49,86
6/8/09,20,46,86
6/15/09,17,52,90
6/22/09,20,47,87
6/29/09,21,51,88
7/6/09,23,56,92
7/13/09,20,56,90
7/20/09,25,54,90
7/27/09,25,60,88
8/3/09,23,55,90
8/10/09,25,59,89
8/17/09,26,60,91
8/24/09,29,62,90
8/31/09,27,62,91
9/7/09,25,61,91
9/14/09,31,66,91
9/21/09,31,61,93
9/28/09,28,64,92
10/5/09,28,58,91
10/12/09,25,60,89
10/19/09,27,60,90
10/26/09,28,57,92
11/2/09,27,62,90
11/9/09,26,59,91
11/16/09,27,60,90
11/23/09,35,60,88
11/30/09,28,59,89
12/7/09,30,63,89
12/14/09,34,63,89
12/21/09,38,62,88
12/28/09,41,62,88
1/4/10,15,45,81
1/11/10,12,45,85
1/18/10,14,41,79
1/25/10,12,41,80
2/1/10,10,42,78
2/8/10,12,41,81
2/15/10,9,42,81
2/22/10,8,41,80
3/1/10,11,42,81
3/8/10,9,41,83
3/18/10,8,40,81
3/22/10,7,40,80
3/29/10,10,41,82
4/5/10,14,39,81
4/12/10,11,39,77
4/19/10,12,40,80
4/26/10,11,43,81
5/3/10,11,39,79
5/10/10,14,40,78
5/17/10,11,39,76
5/24/10,12,39,80
5/31/10,11,42,80
6/7/10,10,43,82
6/14/10,12,40,79
6/21/10,12,39,81
6/28/10,13,38,81
7/5/10,12,38,81
7/12/10,11,43,78
7/19/10,13,43,82
7/26/10,12,44,79
8/2/10,13,44,79
8/9/10,16,41,81
8/16/10,14,42,84
8/23/10,13,47,82
8/30/10,14,47,82
9/6/10,14,42,84
9/13/10,13,48,82
9/20/10,12,45,86
9/27/10,14,43,83
10/4/10,11,48,82
10/11/10,11,44,84
10/18/10,13,43,81
10/25/10,12,44,83
11/1/10,14,44,82
11/8/10,17,44,83
11/15/10,17,45,83
11/22/10,19,47,83
11/29/10,16,46,83
12/6/10,14,44,83
12/13/10,15,45,83
12/20/10,18,45,82
12/27/10,15,45,84
1/3/11,13,46,82
1/10/11,15,46,83
1/17/11,14,49,84
1/24/11,15,45,84
1/31/11,14,42,83
2/7/11,16,45,81
2/14/11,15,43,83
2/21/11,11,45,82
2/28/11,14,43,79
3/7/11,14,44,79
3/14/11,15,43,81
3/21/11,12,41,79
3/28/11,18,43,80
4/4/11,11,39,80
4/11/11,11,40,77
4/18/11,14,39,77
4/25/11,10,40,80
5/2/11,21,47,83
5/9/11,16,46,83
5/16/11,16,46,84
5/23/11,15,46,82
5/30/11,16,47,85
6/6/11,15,42,82
6/13/11,16,39,83
6/20/11,13,41,78
6/27/11,10,46,79
7/4/11,13,43,80
7/11/11,12,40,79
7/18/11,10,41,78
7/25/11,12,37,77
8/1/11,10,34,78
8/8/11,9,36,74
8/15/11,8,35,79
8/22/11,11,35,75
8/29/11,10,39,78
9/5/11,9,40,79
9/12/11,9,35,75
9/19/11,7,36,78
9/26/11,11,34,77
10/3/11,9,35,76
10/10/11,7,37,77
10/17/11,9,38,72
10/24/11,12,37,80
10/31/11,11,39,79
11/7/11,11,39,78
11/14/11,9,39,79
11/21/11,10,39,79
11/28/11,11,40,77
12/5/11,10,38,82
12/12/11,13,38,78
12/19/11,10,42,80
12/26/11,12,39,76
1/2/12,10,41,83
1/9/12,12,42,80
1/16/12,10,41,81
1/23/12,10,42,81
1/30/12,10,42,85
2/6/12,10,43,85
2/13/12,11,42,83
2/20/12,10,42,82
2/27/12,10,42,83
3/5/12,12,44,85
3/12/12,11,41,84
3/19/12,10,43,82
3/26/12,13,42,84
4/2/12,11,40,84
4/9/12,11,44,85
4/16/12,11,43,85
4/23/12,13,45,83
4/30/12,14,46,83
5/7/12,11,43,85
5/14/12,10,43,84
5/21/12,11,43,84
5/28/12,15,41,81
6/4/12,11,43,85
6/11/12,10,41,84
6/18/12,11,43,84
6/25/12,11,41,86
7/2/12,10,39,82
